ranking,url,ldc,ldc_version,ptdetector,ground truth
1,wikipedia.org,,,,
2,youtube.com,"hammer.js,spf","hammer.js@2.0.2,spf",,"d3, hammer.js@2.0.2, spf@2.4.0"
4,instagram.com,,,,"lodash.js, react"
5,facebook.com,,,,
6,google.com,,,,
7,amazon.com,core-js,,,"core-js, jquery@1.6.4"
10,fandom.com,jquery,jquery@3.7.1,jquery,"handlebars.js@4.7.8, jquery@3.7.1, react@18.3.1, lodash.js"
12,quora.com,react,react,,"react@18.2.0, lodash.js"
13,apple.com,preact,preact@10,,"handlebars.js@4.7.7, preact@10.10.6, zepto"
14,yahoo.com,core-js,core-js@3.37.0,core-js,"backbone.js@1.5.0, core-js, underscore.js@1.13.6, zepto"
15,espn.com,"bootstrap,flot,jquery,react,modernizr,backbone.js,lodash.js,moment.js,moment-timezone,core-js","bootstrap@3.3.6,flot@0.8.3,jquery@2.2.2,react,modernizr@2.8.3,backbone.js@1.3.3,lodash.js@4.15.0,moment.js@2.13.0,moment-timezone@0.5.4,core-js","lodash.js,jquery,core-js,moment.js,underscore.js,backbone.js,moment-timezone,modernizr","backbone.js@1.3.3, core-js, flot@0.8.3, jquery@2.2.2, lodash.js, modernizr@2.8.3, moment-timezone@0.5.4, moment.js@2.13.0, zepto, react"
16,nytimes.com,core-js,core-js@3.18.0,core-js,"core-js, react@18.2.0, preact, lodash.js"
18,yelp.com,core-js,core-js@2.6.11,core-js,"core-js, lodash.js, react, d3"
19,pinterest.com,core-js,core-js@2.5.7,,"react, core-js, lodash.js"
21,walmart.com,react,react,,react@18.2.0
22,linkedin.com,,,,lodash.js
23,tiktok.com,"react,core-js","react,core-js@2.6.12",,"react@17.0.2, lodash.js, core-js"
24,merriam-webster.com,"bootstrap,jquery,vue,core-js","bootstrap@5.1.3,jquery@3.6.3,vue,core-js@3.27.2","jquery,core-js","bootstrap@5.1.3, jquery@3.6.3, core-js, lodash.js, vue, zepto, underscore.js"
25,weather.com,core-js,core-js@3.34.0,"backbone.js,core-js","backbone.js@1.5.0, core-js, d3@5.9.1, lodash.js, zepto, react@18.3.1, underscore.js@1.13.6"
27,mayoclinic.org,core-js,core-js@3.27.2,core-js,"react@18.2.0, moment.js@2.30.1, bootstrap"
28,clevelandclinic.org,jquery,jquery@3.0.0,jquery,"jquery@3.0.0, lodash.js"
30,nih.gov,"jquery,lodash.js,flexslider","flexslider, jquery@2.2.4, jquery.isotope, lodash.js, swfobject, jqueryui@1.13.2,lodash.js@4.17.21,flexslider",,"flexslider, jquery, jquery.isotope, lodash.js, swfobject@2.1, jqueryui@1.13.2"
31,ebay.com,"jquery,jqueryui,react,lodash.js","jquery@3.7.0,jqueryui@1.10.2,react,lodash.js@4.17.21","lodash.js,jquery,underscore.js,jqueryui","jquery@3.7.0, jqueryui@1.10.2, lodash.js, react@17.0.2"
32,britannica.com,"jquery,core-js","jquery@3.5.0,core-js@3.37.0","jquery,core-js","moment.js@2.24.0, react@17.0.2, webfont, backbone.js@1.2.3, core-js, jquery, lodash.js, zepto"
33,microsoft.com,"jquery,preact,core-js","jquery@3.5.1,preact@8,core-js@3.26.0","jquery,core-js","core-js, jquery@3.5.1, preact"
35,zillow.com,,,,
36,netflix.com,"react,lodash.js","react,lodash.js@4.17.21","lodash.js,underscore.js","react@18.2.0, lodash.js"
37,healthline.com,"react,core-js","react,core-js@2.6.5",core-js,"react@16.14.0, core-js, preact"
38,rottentomatoes.com,"jquery,core-js","jquery@3.7.1,core-js@2.6.5","jquery,core-js","core-js, jquery@3.7.1, lodash.js, zepto"
40,target.com,"lodash.js,core-js","lodash.js@4.17.21,core-js@3.40.0","lodash.js,core-js,underscore.js","lodash.js, core-js, react@18.3.1"
42,usps.com,"bootstrap,jquery,core-js","bootstrap@4.3.1,jquery@3.5.1,core-js@3.32.2","jquery,require.js,bootstrap","bootstrap@4.3.1, jquery, require.js@2.3.6"
43,eightsleep.com,core-js,core-js@3.6.4,core-js,"moment.js@2.30.1, react, lodash.js, core-js, gsap@3.12.5, jquery@3.6.3, preact, three.js"
44,spotify.com,core-js,core-js@3.40.0,core-js,"core-js, react@18.3.1"
46,allrecipes.com,"jquery,core-js","jquery@3.6.0,core-js@3.8.3","jquery,core-js","core-js, jquery@3.6.0"
47,webmd.com,core-js,core-js@3.37.0,core-js,"core-js, lodash.js, vue@3.4.31"
48,thesaurus.com,core-js,core-js@3.38.1,core-js,"core-js, lodash.js, react@18.2.0"
50,ca.gov,,,bootstrap,bootstrap@5.3.3
